,0,1,2,3,4,5,6,7
359,PNB,42.40,0.47,11711404,0.00,0.00,0.00,0.00
360,PNB Housing Fin,525.20,19.99,95996,0.00,0.00,0.00,0.00
361,PNC Infratech,258.30,0.78,82961,0.00,0.00,0.00,0.00
362,Poly Medicure,1020.50,-1.24,6819,0.00,0.00,0.00,0.00
363,Polycab,1674.35,-0.07,17213,0.00,0.00,0.00,0.00
364,Power Finance,120.45,-0.04,1170512,0.00,0.00,0.00,0.00
365,Power Grid Corp,225.50,-0.02,145651,0.00,0.00,0.00,0.00
366,Prestige Estate,273.00,0.29,26470,0.00,0.00,0.00,0.00
367,Prism Johnson,127.55,-1.47,23927,0.00,0.00,0.00,0.00
368,Procter&Gamble,5910.65,-0.18,1711,0.00,0.00,0.00,0.00
369,PTC India,88.40,-1.17,67531,0.00,0.00,0.00,0.00
370,PVR,1309.25,0.51,72060,0.00,0.00,0.00,0.00
371,Quess Corp,684.00,-0.07,17185,0.00,0.00,0.00,0.00
372,Radico Khaitan,611.80,0.21,30460,0.00,0.00,0.00,0.00
